2> Event: Processed message | System Time: 2025-02-28 19:04:26 | Logical Clock: 258 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:27 | Logical Clock: 259 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 19:04:27 | Logical Clock: 260 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:27 | Logical Clock: 262 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:27 | Logical Clock: 263 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:28 | Logical Clock: 264 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:28 | Logical Clock: 265 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:28 | Logical Clock: 266 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:28 | Logical Clock: 269 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 19:04:29 | Logical Clock: 270 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:29 | Logical Clock: 272 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:29 | Logical Clock: 273 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:30 | Logical Clock: 275 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:30 | Logical Clock: 277 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:30 | Logical Clock: 278 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:30 | Logical Clock: 279 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:31 | Logical Clock: 280 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:31 | Logical Clock: 282 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:31 | Logical Clock: 283 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:31 | Logical Clock: 283 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:04:31 | Logical Clock: 284 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:04:32 | Logical Clock: 285 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:32 | Logical Clock: 289 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:32 | Logical Clock: 290 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 19:04:32 | Logical Clock: 291 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:33 | Logical Clock: 293 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:33 | Logical Clock: 294 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:33 | Logical Clock: 295 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:33 | Logical Clock: 296 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:34 | Logical Clock: 297 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:34 | Logical Clock: 299 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:34 | Logical Clock: 301 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:34 | Logical Clock: 302 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:35 | Logical Clock: 303 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:35 | Logical Clock: 303 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:04:35 | Logical Clock: 304 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:35 | Logical Clock: 307 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:35 | Logical Clock: 308 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:36 | Logical Clock: 309 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:36 | Logical Clock: 311 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:36 | Logical Clock: 313 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:36 | Logical Clock: 314 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:37 | Logical Clock: 317 | Queue Length: 1
